# x_m, y_m, vx, yaw, ax, s_m
-0.197702,0.124558,3.416791,-0.264741,1.195667,0.000000
-0.006762,0.072793,3.485614,-0.228772,1.508827,0.198653
0.188475,0.034637,3.570570,-0.162743,1.784945,0.397305
0.385353,0.008410,3.668534,-0.107734,2.063263,0.595958
0.583310,-0.008066,3.778609,-0.064286,2.423645,0.794610
0.782123,-0.017132,3.903948,-0.033072,2.847859,0.993263
0.980566,-0.021209,4.046267,-0.013943,3.280366,1.191915
1.179416,-0.022672,4.204234,-0.005302,3.632645,1.390568
1.377994,-0.023316,4.372511,-0.002701,3.482385,1.589220
1.576687,-0.023745,4.527960,-0.002159,3.273778,1.787873
1.775360,-0.024174,4.669380,-0.002076,3.003085,1.986525
1.974031,-0.024570,4.795441,-0.001758,2.735145,2.185178
2.172722,-0.024873,4.907437,-0.000994,2.484343,2.383830
2.371447,-0.024965,5.006993,0.001046,2.067646,2.582483
2.570108,-0.024457,5.088366,0.005815,1.582933,2.781135
2.768908,-0.022654,5.149794,0.015446,0.762852,2.979788
2.967636,-0.018316,5.179137,0.031592,-0.018772,3.178440
3.166074,-0.010102,5.178417,0.054706,-0.757599,3.377093
3.364685,0.003426,5.149272,0.084626,-1.353202,3.575745
3.561597,0.023450,5.096800,0.121323,-1.871728,3.774398
3.759131,0.051518,5.023318,0.163552,-2.066064,3.973051
3.954044,0.088214,4.940938,0.210604,-2.167472,4.171703
4.147227,0.134482,4.853011,0.261120,-2.097777,4.370356
4.338127,0.190849,4.766368,0.314179,-1.969257,4.569008
4.524547,0.257089,4.683574,0.369702,-1.838282,4.767661
4.708342,0.334314,4.604944,0.426669,-1.630882,4.966313
4.886908,0.421817,4.534043,0.484848,-1.434719,5.164966
5.058953,0.519012,4.470741,0.544095,-1.257834,5.363618
5.226589,0.627328,4.414497,0.603632,-1.063334,5.562271
5.386951,0.745161,4.366385,0.663702,-0.906925,5.760923
5.539170,0.871782,4.324926,0.724071,-0.781164,5.959576
5.683505,1.007402,4.288896,0.784968,-0.682400,6.158228
5.820147,1.152518,4.257171,0.846134,-0.601985,6.356881
5.947113,1.305147,4.228987,0.905843,-0.267136,6.555533
6.064743,1.464474,4.216420,0.958744,0.467206,6.754186
6.174509,1.629083,4.238375,1.000194,1.358192,6.952838
6.278831,1.798038,4.301563,1.032311,1.745048,7.151491
6.378030,1.969776,4.381410,1.064636,0.860168,7.350143
6.470611,2.144006,4.420238,1.102876,0.336304,7.548796
6.556571,2.323076,4.435327,1.145602,0.039735,7.747449
6.635089,2.507240,4.437106,1.190741,-0.117840,7.946101
6.704129,2.692454,4.431827,1.237230,-0.111039,8.144754
6.764781,2.881515,4.426847,1.283469,-0.039640,8.343406
6.817098,3.074748,4.425068,1.328508,0.041124,8.542059
6.860146,3.267383,4.426913,1.372102,0.238057,8.740711
6.895349,3.463376,4.437583,1.412724,0.424186,8.939364
6.922768,3.660237,4.456532,1.450144,0.653362,9.138016
6.943143,3.857579,4.485561,1.483443,0.932669,9.336669
6.957475,4.056545,4.526678,1.511746,1.203438,9.535321
6.966594,4.254261,4.579186,1.534676,1.563505,9.733974
6.971819,4.453484,4.646518,1.551501,1.892135,9.932626
6.974264,4.651722,4.726721,1.562418,2.225632,10.131279
6.975146,4.850666,4.819351,1.568401,2.384673,10.329931
6.975217,5.049231,4.916664,1.572063,2.236775,10.528584
6.974643,5.247962,5.006223,1.575082,2.090938,10.727236
6.973513,5.446707,5.088517,1.577706,1.945599,10.925889
6.971896,5.645527,5.163914,1.579661,1.890799,11.124542
6.969989,5.844246,5.236146,1.580429,1.887428,11.323194
6.968064,6.043352,5.307270,1.579897,1.619631,11.521847
6.966373,6.241611,5.367551,1.578135,1.358378,11.720499
6.965144,6.441160,5.417591,1.575002,1.065609,11.919152
6.964701,6.639105,5.456525,1.570139,0.768440,12.117804
6.965405,6.838775,5.484430,1.563280,-1.378454,12.316457
6.967692,7.037070,5.434271,1.555072,-10.648685,12.515109
6.971650,7.235862,5.029963,1.548635,-9.659587,12.713762
6.976512,7.435009,4.632788,1.552178,-7.328233,12.912414
6.979029,7.632163,4.307108,1.577727,-5.498966,13.111067
6.973758,7.832530,4.045542,1.631139,-4.073954,13.309719
6.955007,8.029767,3.840288,1.713058,-3.223841,13.508372
6.917724,8.223747,3.669736,1.819799,-2.289998,13.707024
6.857335,8.413881,3.543605,1.949053,-2.054642,13.905677
6.771333,8.592126,3.426487,2.096985,-2.054642,14.104329
6.659205,8.755008,3.305222,2.249168,-1.230444,14.302982
6.523340,8.899821,3.230423,2.399512,-0.769498,14.501634
6.367405,9.022563,3.182751,2.556173,-1.122674,14.700287
6.194179,9.118036,3.111890,2.725404,-1.199853,14.898940
6.006509,9.182083,3.034329,2.902022,-0.863809,15.097592
5.810328,9.211796,2.977240,3.082344,-0.751254,15.296245
5.612791,9.205437,2.926684,-3.018121,-0.453811,15.494897
5.419192,9.163255,2.895718,-2.838418,-0.085297,15.693550
5.234724,9.087171,2.889860,-2.670619,0.340735,15.892202
5.066652,8.983744,2.913188,-2.524102,1.274507,16.090855
4.912529,8.858372,2.998839,-2.410682,2.162545,16.289507
4.770293,8.718042,3.138825,-2.333342,3.188104,16.488160
4.638159,8.571165,3.334498,-2.282328,3.260003,16.686812
4.511449,8.417827,3.523364,-2.245234,3.294736,16.885465
4.389736,8.260444,3.704471,-2.215950,3.177285,17.084117
4.272411,8.100204,3.871105,-2.194073,3.363098,17.282770
4.157549,7.937454,4.040004,-2.181838,3.675239,17.481422
4.044055,7.774199,4.216850,-2.180108,3.578668,17.680075
3.929890,7.611245,4.382197,-2.187706,2.658091,17.878727
3.814088,7.449961,4.501080,-2.201382,2.076542,18.077380
3.695535,7.290217,4.591812,-2.218454,1.643183,18.276032
3.574578,7.133366,4.662358,-2.237811,1.311243,18.474685
3.449958,6.978335,4.717897,-2.258462,1.086306,18.673338
3.322305,6.826247,4.763417,-2.279535,0.982821,18.871990
3.191563,6.676943,4.804230,-2.299802,0.998891,19.070643
3.057656,6.529930,4.845357,-2.318471,1.054951,19.269295
2.921357,6.385541,4.888417,-2.335358,1.114265,19.467948
2.782714,6.243285,4.933490,-2.350420,1.168228,19.666600
2.641946,6.102885,4.980308,-2.363700,1.218511,19.865253
2.499723,5.964511,5.028677,-2.375253,1.269512,20.063905
2.355784,5.827428,5.078580,-2.385076,1.318712,20.262558
2.210713,5.691730,5.129903,-2.393247,1.359798,20.461210
2.064810,5.557256,5.182293,-2.399874,1.396836,20.659863
1.917961,5.423497,5.235564,-2.405134,1.402466,20.858515
1.770656,5.290570,5.288510,-2.409362,1.371961,21.057168
1.622521,5.157913,5.339796,-2.412852,1.313729,21.255820
1.474741,5.026421,5.388448,-2.415627,1.322703,21.454473
1.326340,4.895000,5.436993,-2.419469,0.877693,21.653125
1.176339,4.763580,5.468967,-2.427992,0.013108,21.851778
1.026060,4.635015,5.469444,-2.442552,-0.590893,22.050430
0.872083,4.507807,5.447940,-2.461989,-1.071427,22.249083
0.716463,4.384860,5.408730,-2.485806,-1.384530,22.447736
0.557188,4.265534,5.357638,-2.512273,-1.406262,22.646388
0.394899,4.150738,5.305240,-2.538804,-1.161714,22.845041
0.229669,4.040123,5.261560,-2.558994,0.262535,23.043693
0.063021,3.932066,5.271463,-2.565478,1.658743,23.242346
-0.103841,3.823465,5.333605,-2.555014,-0.424684,23.440998
-0.268147,3.711968,5.317764,-2.527314,-2.259861,23.639651
-0.428585,3.594421,5.232663,-2.483935,-4.725839,23.838303
-0.582845,3.468909,5.050066,-2.427376,-4.208634,24.036956
-0.728364,3.334546,4.881706,-2.359803,-3.949053,24.235608
-0.864884,3.188897,4.718270,-2.284803,-3.783166,24.434261
-0.988680,3.034131,4.556205,-2.204083,-3.482485,24.632913
-1.099724,2.869021,4.401749,-2.120197,-2.908881,24.831566
-1.196754,2.694297,4.268452,-2.035298,-2.311990,25.030218
-1.277578,2.514072,4.159461,-1.949345,-1.888086,25.228871
-1.342940,2.326746,4.068288,-1.861624,-1.658454,25.427523
-1.391676,2.132876,3.986484,-1.769330,-1.723073,25.626176
-1.421451,1.936500,3.899676,-1.670892,-1.675803,25.824828
-1.431243,1.738904,3.813354,-1.567266,-1.620576,26.023481
-1.420058,1.541940,3.727976,-1.456029,-1.844195,26.222134
-1.386240,1.348506,3.628374,-1.339225,-1.452980,26.420786
-1.330089,1.160392,3.547932,-1.221927,-1.012487,26.619439
-1.251521,0.978141,3.490781,-1.101454,-0.901424,26.818091
-1.149748,0.804787,3.439101,-0.977916,-0.769747,27.016744
-1.029007,0.647872,3.394346,-0.853376,-0.499133,27.215396
-0.889719,0.506765,3.365008,-0.731057,-0.220926,27.414049
-0.733103,0.382499,3.351940,-0.612462,-0.038685,27.612701
-0.564439,0.278226,3.349647,-0.499517,0.354070,27.811354
-0.385246,0.192682,3.370580,-0.396790,0.789451,28.010006
-0.197702,0.124558,3.416791,-0.348423,1.195667,28.208659
